AGE ED EMP ADRE REVENU CREDIT DECOUVERT
41 Bac+5 17 12 176 9.3 oui
27 Bac 10 6 31 17.3 non
40 Bac 15 14 55 5.5 non
41 Bac 15 14 120 2.9 non
24 Bac+3 2 0 28 17.3 oui
41 Bac+3 5 5 25 10.2 non
39 Bac 20 9 67 30.6 non
43 Bac 12 11 38 3.6 non
24 Bac 3 4 19 24.4 oui
36 Bac 0 13 25 19.7 non
27 Bac 0 1 16 1.7 non
25 Bac 4 0 23 5.2 non
52 Bac 24 14 64 10 non
37 Bac 6 9 29 16.3 non
48 Bac 22 15 100 9.1 non
36 Bac+3 9 6 49 8.6 oui
36 Bac+3 13 6 41 16.4 oui
43 Bac 23 19 72 7.6 non
39 Bac 6 9 61 5.7 non
41 Bac+5 0 21 26 1.7 non
39 Bac 22 3 52 3.2 non
47 Bac 17 21 43 5.6 non
28 Bac 3 6 26 10 non
29 Bac 8 6 27 9.8 non
21 Bac+3 1 2 16 18 oui
25 SansBac 0 2 32 17.6 non
45 Bac+3 9 26 69 6.7 non
43 Bac 25 21 64 16.7 non
33 Bac+3 12 8 58 18.4 non
26 Bac+5 2 1 37 14.2 non
45 Bac 3 15 20 2.1 non
30 Bac 1 10 22 10.5 non
27 Bac+5 2 7 26 6 non
25 Bac 8 4 27 14.4 non
25 Bac 8 1 35 2.9 non
26 Bac+3 6 7 45 26 non
30 Bac+3 10 4 22 16.1 non
32 Bac+3 12 1 54 14.4 non
28 Bac+3 1 8 24 17.1 oui
45 Bac 23 5 50 4.2 non
23 Bac 7 2 31 6.6 non
34 Bac 17 3 59 8 non
42 Bac+3 7 23 41 4.6 non
39 Bac 19 5 48 13.1 non
26 Bac 0 0 14 7.5 oui
21 Bac+3 0 1 16 6.8 non
35 Bac 13 15 35 4.5 non
47 Bac 4 2 26 10.4 non
23 Bac+3 0 2 21 11.4 oui
35 Bac 18 2 42 7.4 non
34 Bac 2 11 25 12.6 oui
46 Bac 1 12 20 14 non
46 Bac 16 18 52 12.9 oui
38 Bac+5 3 18 25 3.7 non
40 Bac+3 3 2 28 9.5 non
37 Bac 1 3 24 15.1 oui
35 Bac 9 1 34 5 non
39 Bac+3 16 13 69 2.4 non
40 Bac+5 18 6 100 2.5 non
50 Bac+5 10 20 80 12.2 non
31 Bac 9 10 28 2.4 non
29 Bac 13 1 42 7.4 oui
37 Bac 4 0 23 12.4 non
33 Bac+3 4 9 55 7 non
26 Bac+3 5 7 28 7.8 non
32 Bac+3 11 6 75 23.3 oui
28 Bac+3 2 3 23 6.4 oui
39 Bac 19 8 46 9.1 non
28 Bac+3 8 3 31 8.2 oui
29 Bac 1 2 20 18.6 oui
34 Bac+3 3 8 21 23.1 non
28 Bac+3 5 9 34 23.8 non
47 Bac 26 21 100 12.8 non
43 SansBac 1 5 26 10.6 non
41 Bac 13 10 44 1.7 non
47 Bac 13 25 51 23.8 non
24 Bac 2 1 21 0.6 non
29 Bac 1 9 17 6.7 non
33 Bac 14 2 37 2.6 non
36 Bac 15 10 39 3.2 non
26 Bac 4 3 27 10.5 oui
31 Bac 11 12 45 17 non
37 Bac 7 3 32 19.6 non
35 SansBac 4 16 29 11 non
26 Bac 4 3 20 5.4 non
40 Bac 10 15 45 18.8 non
29 Bac+3 5 4 36 12.4 oui
37 Bac+5 5 17 29 24.6 non
32 Bac 12 12 28 2.9 non
23 Bac+3 0 1 17 27.7 oui
32 Bac 3 10 23 6.2 non
25 Bac 1 6 15 11.4 oui
38 Bac 5 5 54 10.6 non
32 Bac+3 0 6 18 5.8 oui
41 Bac+5 2 0 15 26.3 oui
36 Bac 17 6 54 4.4 non
42 Bac+5 13 0 82 3.3 non
41 Bac 14 8 52 7.3 non
29 Bac+3 4 9 19 6.3 non
38 Bac+5 4 6 31 9.3 oui
39 Bac 22 9 113 2.6 non
36 Bac 6 9 26 8.3 non
33 Bac 8 7 27 5.8 non
42 Bac+3 21 11 121 3.1 non
41 Bac+3 22 17 75 23.6 non
40 Bac 8 17 28 3.6 non
53 Bac 9 18 50 11.2 oui
28 Bac 4 7 26 13.5 non
36 Bac+3 12 13 60 7.9 non
34 Bac+3 9 13 45 10.1 non
45 Bac+5 2 5 39 4.9 non
38 Bac 6 0 41 8.9 non
21 Bac+5 0 2 24 7.7 non
42 Bac 12 11 51 21.4 non
52 Bac 16 25 64 8.6 non
25 Bac+3 4 6 33 5.2 non
34 Bac+3 9 9 65 6.2 non
40 Bac+3 15 16 73 3.4 non
31 Bac+3 0 4 27 12.8 oui
25 Bac 1 0 20 6.7 oui
45 Bac 12 19 37 9.5 non
23 Bac 3 0 19 8.4 oui
34 SansBac 6 3 27 35.3 oui
31 Bac 2 4 22 12.7 oui
28 Bac 5 9 22 2.8 non
41 Bac 7 11 43 4.4 non
39 Bac+3 7 2 68 13 oui
29 Bac+3 9 3 36 1.4 non
21 Bac 5 1 25 9 non
41 Bac+3 19 2 68 5.8 non
26 SansBac 1 7 27 2.9 non
33 Bac 5 10 18 12.9 non
45 Bac+3 18 19 35 17.4 non
39 Bac 17 20 60 13.7 non
24 Bac 7 2 21 6.3 non
29 Bac+3 6 7 57 2.2 non
27 Bac+3 1 0 23 12.4 non
40 Bac 13 2 28 5.9 non
29 Bac 8 10 24 6.7 non
29 Bac+3 4 3 37 6.6 oui
24 Bac 0 2 16 16 oui
27 Bac 9 6 45 17.8 oui
41 Bac+5 16 22 135 4.4 non
31 Bac 11 8 25 9.1 non
41 Bac 16 17 68 5.4 non
42 Bac+3 5 3 41 3.4 non
28 SansBac 1 3 26 12.4 non
30 SansBac 2 8 25 10 non
30 Bac 11 1 33 8.4 non
31 Bac 8 4 44 8 non
45 Bac+3 15 14 51 18.1 non
43 Bac 13 23 76 6.1 oui
36 Bac 4 10 23 16.3 non
28 Bac 8 6 30 7.2 non
27 Bac+3 3 5 33 13.2 non
36 Bac+5 13 3 39 19.2 non
33 Bac 12 11 32 11.3 non
54 Bac 9 2 28 14.8 oui
33 Bac 9 4 29 13.8 oui
31 Bac 9 5 26 4.5 non
21 Bac 4 0 26 8.9 non
28 Bac+5 5 9 44 8.7 non
31 Bac+3 2 1 26 6.8 oui
32 Bac 8 6 26 4.1 non
35 Bac+3 1 8 24 12.5 oui
40 Bac+3 13 11 102 18.9 oui
22 Bac 4 2 24 15.6 oui
39 Bac 4 9 38 6.5 non
41 SansBac 14 3 44 1.7 non
34 Bac 16 9 79 4 non
29 Bac 7 9 22 9.7 non
31 Bac 4 10 28 11.3 non
32 Bac 1 0 20 4.8 oui
32 Bac 14 7 73 8.8 non
33 Bac 6 14 21 7.5 non
26 Bac 6 0 22 10.3 non
21 Bac 1 1 18 17.3 non
28 Bac+3 7 2 34 7 non
