IAT[SQ001]	IAT[SQ002]	IAT[SQ005]	IAT[SQ006]	IAT[SQ007]	IAT[SQ009]	IAT[SQ010]	IAT[SQ012]	IAT[SQ013]	IAT[SQ014]	IAT[SQ015]	IAT[SQ016]	IAT[SQ008]	IAT[SQ017]	IAT[SQ018]	IAT[SQ019]	IAT[SQ020]
Occasionnellement	Occasionnellement	Rarement	Occasionnellement	Rarement	Rarement	Parfois	Occasionnellement	Rarement	Rarement	Rarement	Occasionnellement	Occasionnellement	Rarement	Rarement	Rarement	Rarement
Souvent	Occasionnellement	Parfois	Rarement	Occasionnellement	Rarement	Rarement	Souvent	Occasionnellement	Parfois	Parfois	Souvent	Rarement	Rarement	Rarement	Occasionnellement	Rarement
Souvent	Occasionnellement	Rarement	Occasionnellement	Rarement	Occasionnellement	Parfois	Rarement	Rarement	Souvent	Rarement	Souvent	Parfois	Rarement	Rarement	Rarement	Rarement
Souvent	Parfois	Parfois	Occasionnellement	Rarement	Rarement	Toujours	Parfois	Parfois	Occasionnellement	Rarement	Occasionnellement	Parfois	Rarement	Rarement	Occasionnellement	Souvent
Souvent	Occasionnellement	Occasionnellement	Rarement	Souvent	Rarement	Parfois	Souvent	Rarement	Occasionnellement	Rarement	Parfois	Rarement	Rarement	Rarement	Rarement	Rarement
Rarement	Occasionnellement	Rarement	Parfois	Rarement	Rarement	Souvent	Rarement	Rarement	Parfois	Rarement	Souvent	Rarement	Rarement	Rarement	Parfois	Rarement
Souvent	Rarement	Rarement	Occasionnellement	Occasionnellement	Rarement	Occasionnellement	Rarement	Parfois	Parfois	Parfois	Parfois	Occasionnellement	Rarement	Rarement	Rarement	Rarement
Souvent	Parfois	Rarement	Parfois	Souvent	Souvent	Souvent	Rarement	Parfois	Souvent	Rarement	Toujours	Occasionnellement	Occasionnellement	Occasionnellement	Rarement	Rarement
Parfois	Parfois	Occasionnellement	Occasionnellement	Souvent	Occasionnellement	Rarement	Occasionnellement	Occasionnellement	Parfois	Parfois	Occasionnellement	Rarement	Occasionnellement	Occasionnellement	Rarement	Occasionnellement
Souvent	Rarement	Rarement	Occasionnellement	Souvent	Rarement	Rarement	Rarement	Souvent	Parfois	Rarement	Souvent	Occasionnellement	Souvent	Occasionnellement	Rarement	Rarement
Souvent	Parfois	Rarement	Occasionnellement	Parfois	Rarement	Rarement	Occasionnellement	Parfois	Occasionnellement	Rarement	Parfois	Occasionnellement	Rarement	Rarement	Occasionnellement	Rarement
Souvent	Souvent	Rarement	Parfois	Rarement	Rarement	Occasionnellement	Parfois	Occasionnellement	Rarement	Souvent	Parfois	Rarement	Rarement	Rarement	Souvent	Rarement
Toujours	Souvent	Parfois	Toujours	Rarement	Parfois	Toujours	Rarement	Rarement	Souvent	Occasionnellement	Toujours	Toujours	Toujours	Toujours	Souvent	Rarement
Souvent	Parfois	Rarement	Souvent	Rarement	Rarement	Parfois	Rarement	Occasionnellement	Toujours	Occasionnellement	Souvent	Souvent	Parfois	Parfois	Occasionnellement	Parfois
Rarement	Rarement	Occasionnellement	Rarement	Rarement	Rarement	Rarement	Rarement	Rarement	Parfois	Rarement	Occasionnellement	Occasionnellement	Rarement	Rarement	Occasionnellement	Rarement
Occasionnellement	Occasionnellement	Occasionnellement	Parfois	Rarement	Occasionnellement	Souvent	Rarement	Occasionnellement	Rarement	Occasionnellement	Occasionnellement	Occasionnellement	Rarement	Occasionnellement	Occasionnellement	Rarement
Souvent	Souvent	Occasionnellement	Parfois	Souvent	Rarement	Occasionnellement	Rarement	Rarement	Souvent	Rarement	Toujours	Souvent	Occasionnellement	Rarement	Rarement	Rarement
Rarement	Rarement	Toujours	Rarement	Parfois	Occasionnellement	Parfois	Parfois	Rarement	Rarement	Souvent	Rarement	Rarement	Rarement	Rarement	Toujours	Parfois
Toujours	Souvent	Parfois	Occasionnellement	Toujours	Rarement	Occasionnellement	Parfois	Rarement	Souvent	Rarement	Souvent	Parfois	Occasionnellement	Rarement	Rarement	Rarement
Toujours	Parfois	Rarement	Occasionnellement	Rarement	Rarement	Toujours	Rarement	Rarement	Parfois	Souvent	Parfois	Occasionnellement	Rarement	Rarement	Rarement	Rarement
Souvent	Parfois	Rarement	Souvent	Parfois	Rarement	Souvent	Rarement	Occasionnellement	Parfois	Rarement	Occasionnellement	Parfois	Souvent	Parfois	Rarement	Rarement
Souvent	Souvent	Rarement	Parfois	Toujours	Rarement	Toujours	Rarement	Rarement	Souvent	Rarement	Parfois	Parfois	Occasionnellement	Rarement	Rarement	Rarement
Souvent	Parfois	Rarement	Parfois	Rarement	Occasionnellement	Souvent	Rarement	Rarement	Parfois	Occasionnellement	Parfois	Toujours	Parfois	Toujours	Rarement	Occasionnellement
Souvent	Occasionnellement	Rarement	Souvent	Occasionnellement	Occasionnellement	Rarement	Rarement	Occasionnellement	Souvent	Souvent	Souvent	Souvent	Rarement	Rarement	Rarement	Occasionnellement
Parfois	Occasionnellement		Souvent	Rarement	Occasionnellement	Parfois	Rarement	Rarement	Souvent	Parfois	Rarement	Parfois	Rarement	Rarement	Rarement	Rarement
Souvent	Souvent	Occasionnellement	Occasionnellement	Rarement	Rarement	Occasionnellement	Rarement	Rarement	Souvent	Occasionnellement	Occasionnellement	Occasionnellement	Rarement	Rarement	Rarement	Rarement
Souvent	Rarement	Occasionnellement	Parfois	Rarement	Rarement	Souvent	Occasionnellement	Rarement	Souvent	Occasionnellement	Souvent	Parfois	Occasionnellement	Occasionnellement	Occasionnellement	Rarement
Souvent	Souvent	Souvent	Occasionnellement	Rarement	Occasionnellement	Souvent	Occasionnellement	Parfois	Occasionnellement	Parfois	Parfois	Occasionnellement	Occasionnellement	Parfois	Rarement	Parfois
Souvent	Occasionnellement	Occasionnellement	Occasionnellement	Rarement	Rarement	Parfois	Souvent	Occasionnellement	Parfois	Souvent	Parfois	Souvent	Occasionnellement	Occasionnellement	Occasionnellement	Occasionnellement
Souvent	Souvent	Occasionnellement	Parfois	Occasionnellement	Rarement	Rarement	Rarement	Rarement	Souvent	Rarement	Souvent	Souvent	Rarement	Rarement	Occasionnellement	Rarement
Souvent	Rarement	Rarement	Rarement	Occasionnellement	Rarement	Parfois	Occasionnellement	Rarement	Parfois	Parfois	Souvent	Parfois	Occasionnellement	Rarement	Rarement	Rarement
Souvent	Occasionnellement	Toujours	Occasionnellement	Parfois	Souvent	Parfois	Rarement	Rarement	Occasionnellement	Rarement	Occasionnellement	Parfois	Rarement	Rarement	Rarement	Rarement
Souvent	Parfois	Parfois	Parfois	Occasionnellement	Occasionnellement	Occasionnellement	Occasionnellement	Occasionnellement	Souvent	Souvent	Toujours		Parfois	Rarement	Parfois	Occasionnellement
Souvent	Souvent	Parfois	Souvent	Parfois	Rarement	Occasionnellement	Rarement	Occasionnellement	Souvent	Parfois	Souvent	Occasionnellement	Occasionnellement	Rarement	Occasionnellement	Rarement
