MOYF0 SDF0 SDENERG HAMILTON COVI RALENT
89.5574 5.13229 0.0013388 23 0 23
112.6427 10.13345 0.0015451 23 6 25
228.2867 31.83354 0.0009125 24 6 9
217.4338 20.42288 0.0012223 25 7 18
123.0775 6.15372 0.0031147 28 12 3
103.3348 13.17703 0.0009866 28 7 13
177.9506 14.34893 0.0020759 21 12 8
187.6033 17.86849 0.0007014 21 2 8
209.132 33.98552 0.0007472 18 6 15
102.2171 8.77307 0.00203 20 10 29
219.6265 17.72128 0.0007126 20 9 10
176.3556 16.20459 0.0013275 19 7 15
117.6677 17.82051 0.0008597 7 7 5
198.1064 36.30516 0.0007661 24 8 12
112.6328 13.0568 0.0008899 24 10 14
202.0168 22.97118 0.000986 13 7 25
126.8928 8.9026 0.0010026 31 12 14
108.5796 17.85451 0.0009545 16 1 11
227.2626 15.63414 0.0009841 31 11 9
199.1448 16.73099 0.0008959 21 2 23
153.2398 23.30911 0.0011555 13 5 9
140.0263 51.17817 0.0009973 19 4 5
235.2402 15.98026 0.0009742 19 6 16
149.2724 14.31333 0.0007843 17 8 14
121.726 14.6828 0.0007914 17 0 27
218.0463 27.61126 0.0014974 26 8 8
205.9634 37.17485 0.0010202 23 5 15
204.3003 18.07068 0.0009704 11 3 6
220.33 16.50404 0.001952 30 6 14
119.8313 21.64663 0.0008666 19 5 12
108.2846 7.15333 0.0009107 26 0 34
86.1146 21.75187 0.0008886 21 9 24
210.2809 28.23874 0.0010431 24 8 14
107.9312 10.32567 0.0011902 9 6 8
202.1431 46.0447 0.0008885 26 8 15
177.473 12.69419 0.0010863 22 8 16
202.6322 14.1027 0.0007684 30 6 21
226.1075 24.44542 0.0010778 24 4 13
167.3775 17.08172 0.0011734 23 5 24
111.4145 8.12934 0.000897 30 8 26
171.5883 22.58863 0.0011768 22 6 13
220.1255 10.6921 0.000751 19 8 19
123.1481 17.52244 0.0012913 9 6 3
219.4024 38.20755 0.0012895 14 7 11
182.764 11.84673 0.0010136 12 0 21
175.1927 58.24891 0.0011871 13 6 7
241.98 14.21759 0.0013398 12 8 8
225.5158 13.53474 0.0009073 28 7 10
230.035 22.24749 0.0008731 21 7 6
106.0807 6.33071 0.0009573 16 2 25
200.6675 11.82561 0.0007235 31 9 15
200.0761 49.52148 0.0008191 6 3 1
208.703 22.29192 0.0012831 12 9 6
156.8197 14.9895 0.0007134 15 7 7
106.4047 21.13884 0.0009797 21 6 11
241.8209 38.06236 0.0006729 7 3 14
145.6518 21.49267 0.000808 18 5 15
122.1933 16.00272 0.0008451 22 7 5
217.9733 27.31204 0.0010714 16 4 12
233.3496 22.29605 0.0011981 25 4 18
139.591 36.45439 0.0010239 16 7 13
99.1685 10.89353 0.0008487 13 4 7
86.7605 8.05164 0.0014044 30 9 28
137.7352 18.25926 0.0008005 18 9 15
226.7596 18.58829 0.0009279 26 8 16
112.6797 14.82881 0.0014174 13 4 10
