temps nbvideos heurestp travail divertissement
1 5 25 5 10
9 5 0 24 18
2 5 26 13 11
1 5 20 5 10
1 6 18 11 10
10 4 0 22 18
8 3 15 19 13
1 3 12 9 11
15 2 1 16 11
5 2 3 24 17
7 5 4 15 18
0 2 5 16 16
1 4 10 6 12
2 3 5 13 13
15 3 10 16 17
3 5 1 17 13
4 3 10 13 18
3 5 6 13 14
1 1 1 14 18
0.5 7 4 10 13
0.5 1 1 15 15
15 5 5 18 17
5 4 2 17 15
2 5 10 13 12
2 4 2 11 13
14 4 14 21 14
1 2 13 10 14
10 10 10 18 16
2 3 10 20 16
7 6 10 18 14
5 10 1 13 15
4 3 5 12 14
2 1 4 15 18
5 5 1 10 11
8 15 10 15 17
7 3 5 17 15
3 5 8 12 18
1 3 15 18 10
2 3 6 20 14
12 7 1 20 16
4 5 2 18 17
2 2 5 13 11
2 5 10 20 15
10 10 1 22 15
14 2 4 16 16
5 6 4 13 16
4 5 12 13 15
2 4 5 12 14
10 5 3 23 12
1 10 20 18 17
1 2 15 15 17
